Longitude,Latitude,Rxlev,RxQual,HoF,Call_Drops
89.92183,24.25637,-47,0,0,0
89.92183,24.25637,-48,0,0,0
89.92183,24.25637,-51,0,0,0
89.92183,24.25637,-53,0,0,0
89.92183,24.25637,-56,0,0,0
89.92183,24.25637,-58,0,0,0
89.92183,24.25637,-61,3,0,0
89.92183,24.25637,-60,0,0,0
89.92183,24.25637,-59,0,0,0
89.92183,24.25637,-57,0,0,0
89.92183,24.25637,-62,1,0,0
89.92183,24.25637,-62,2,0,0
89.92183,24.25637,-61,1,0,0
89.92183,24.25637,-64,1,0,0
89.92183,24.25637,-63,1,0,0
89.92183,24.25637,-64,0,0,0
89.92183,24.25637,-68,2,0,0
89.92183,24.25637,-66,0,0,0
89.92183,24.25637,-69,3,0,0
89.92183,24.25637,-68,0,0,0
89.92183,24.25637,-65,2,0,0
89.92183,24.25637,-65,0,0,0
89.92183,24.25637,-63,0,0,0
89.92183,24.25637,-67,0,0,0
89.92183,24.25637,-60,2,0,0
89.92183,24.25637,-66,2,0,0
89.92183,24.25637,-67,2,0,0
89.92183,24.25637,-74,0,0,0
89.92183,24.25637,-75,1,0,0
89.92183,24.25637,-66,1,0,0
89.92183,24.25637,-65,4,0,0
89.92183,24.25637,-58,3,0,0
89.92191,24.25803,-60,2,0,0
89.92191,24.25803,-60,1,0,0
89.92191,24.25803,-61,2,0,0
89.92191,24.25803,-60,0,0,0
89.92191,24.25803,-61,0,0,0
89.92191,24.25803,-62,1,0,0
89.92191,24.25803,-64,0,0,0
89.92191,24.25803,-63,3,0,0
89.92191,24.25803,-62,2,0,0
89.92191,24.25803,-64,2,0,0
89.92191,24.25803,-55,0,0,0
89.92191,24.25803,-56,0,0,0
89.92191,24.25803,-62,0,0,0
89.92191,24.25803,-66,0,0,0
89.92191,24.25803,-65,1,0,0
89.92191,24.25803,-67,0,0,0
89.92191,24.25803,-69,0,0,0
89.92191,24.25803,-71,0,0,0
89.92191,24.25803,-70,0,0,0
89.92191,24.25803,-68,0,0,0
89.92191,24.25803,-74,0,0,0
89.92191,24.25803,-73,0,0,0
89.92191,24.25803,-72,0,0,0
89.92191,24.25803,-59,0,0,0
89.92191,24.25803,-58,0,0,0
89.9222,24.26172,-76,0,0,0
89.9222,24.26172,-78,0,0,0
89.9222,24.26172,-80,0,0,0
89.9222,24.26172,-74,0,0,0
89.9222,24.26172,-73,0,0,0
89.92224,24.26178,-74,0,0,0
89.92301,24.26294,-70,0,0,0
89.92301,24.26294,-72,0,0,0
89.92301,24.26294,-74,0,0,0
89.92301,24.26294,-73,0,0,0
89.92301,24.26294,-76,0,0,0
89.92301,24.26294,-68,0,0,0
89.92301,24.26294,-69,0,0,0
89.92301,24.26294,-75,0,0,0
89.92301,24.26294,-79,0,0,0
89.92301,24.26294,-78,0,0,0
89.92401,24.26397,-80,3,0,0
89.92401,24.26397,-77,1,0,0
89.92401,24.26397,-80,0,0,0
89.92401,24.26397,-82,0,0,0
89.92401,24.26397,-76,0,0,0
89.92401,24.26397,-81,0,0,0
89.92401,24.26397,-82,2,0,0
89.92401,24.26397,-84,0,0,0
89.92401,24.26397,-85,3,0,0
89.92401,24.26397,-84,2,0,0
89.92401,24.26397,-82,1,0,0
89.92401,24.26397,-81,1,0,0
89.92401,24.26397,-83,3,0,0
89.92401,24.26397,-83,1,0,0
89.92401,24.26397,-86,1,0,0
89.92401,24.26397,-87,1,0,0
89.92401,24.26397,-90,3,0,0
89.92401,24.26397,-88,3,0,0
89.92401,24.26397,-83,0,0,0
89.92401,24.26397,-87,2,0,0
89.92401,24.26397,-88,2,0,0
89.92401,24.26397,-85,0,0,0
