MQ,MD,MU,BQ,BC,Call_Drops
-3,-55,-103.7,0,0,1
-3,-81,-111.5,0,0,1
-3,-97,-107.7,0,1,1
-3.5,-69,-111.5,0,0,1
-3.5,-74,-105.2,0,0,1
-3.5,-75,-105.6,0,0,1
-3.5,-88,-111.5,0,0,1
-3.5,-90,-105.9,0,0,1
-4,-49,-104.3,0,0,1
-4,-63,-99.5,0,0,1
-4,-65,-111.5,0,0,1
-4,-71,-104.4,0,0,1
-4,-73,-105.7,0,0,1
-4,-84,-105.5,0,0,1
-4,-85,-104.2,0,0,1
-4,-86,-111.5,0,0,1
-4,-90,-107.6,0,0,1
-4,-91,-111.5,0,0,1
-4,-92,-107.4,0,0,1
-4,-94,-106.3,0,0,1
-4,-95,-111.5,0,0,1
-4.5,-47,-112.1,0,0,1
-4.5,-50,-104.3,0,0,1
-4.5,-58,-103.4,0,0,1
-4.5,-63,-111.5,0,0,1
-4.5,-71,-97.1,0,0,1
-4.5,-76,-105.9,0,0,1
-4.5,-77,-99.6,0,0,1
-4.5,-78,-111.5,0,0,1
-4.5,-80,-105.3,0,0,1
-4.5,-82,-104.9,0,0,1
-4.5,-83,2814.8,0,0,1
-4.5,-87,-104.8,0,0,1
-4.5,-90,-104.8,0,0,1
-4.5,-91,-108,0,0,1
-4.5,-93,-107,0,0,1
-4.5,-94,-106.9,0,0,1
-4.5,-95,-107.5,0,0,1
-4.5,-96,-107.2,0,1,1
-4.5,-99,-107.4,0,1,1
-5,-100,-111.5,0,1,1
-5,-43,-101.7,0,0,1
-5,-61,-111.5,0,0,1
-5,-62,-104.3,0,0,1
-5,-65,1410.2,0,0,1
-5,-78,-111.5,0,0,1
-5,-79,-103.7,0,0,1
-5,-81,-106.3,0,0,1
-5,-88,-107.3,0,0,1
-5,-90,-112.1,0,0,1
-5,-92,-108.4,0,0,1
-5,-96,-107.4,0,1,1
-5,-98,-107.5,0,1,1
-5,-99,-107.3,0,1,1
-5.5,-46,-112.1,0,0,1
-5.5,-48,-101.3,0,0,1
-5.5,-60,-100.8,0,0,1
-5.5,-66,-101.8,0,0,1
-5.5,-68,-103.6,0,0,1
-5.5,-69,-103.6,0,0,1
