M_RSCP,M_RSRQ,M_SINR,M_CQI,M_QPSK ,M_16QAM,M_64QAM,M_256QAM,M_MIMO,M_Thrpt_Mbps,Thrpt_Good?
-97.53828071,-9.381129516,9.365767622,7.512178128,0.584337,0.301204,0.114457,0,0.271061188,36.13751694,1
-105.2803072,-10.84673233,1.531254899,5.33306622,0.904761,0.095238,0,0,0.255736856,31.38621195,1
-108.8239458,-12.6395694,-1.492985069,2.727599116,0.85,0.15,0,0,0,14.99004428,0
-91.99608745,-8.864064303,13.61468951,8.619343813,0.136645,0.596273,0.192546,0.074534,0.326088098,62.05726761,1
-90.29409672,-9.102271953,16.697326,11.2343225,0.036842,0.321052,0.642105,0,0.429821883,95.89124181,1
-93.19913344,-8.340838902,12.80363154,11.17405531,0.454545,0.090909,0.454545,0,0.537282942,25.70823862,1
-100.7088885,-13.91240798,-3.415458875,3.14493045,0.935483,0.064516,0,0,0,7.539788697,0
-105.8837733,-11.49322898,0.265978709,6.253588895,0.466101,0.48305,0.050847,0,0,34.82494551,1
-100.6425707,-8.091258753,6.917602687,6.415761539,0.53125,0.4375,0.03125,0,0.458131264,24.41151302,0
-76.96471217,-6.921859397,22.56328097,13.24945696,0,0,0.666666,0.333333,0.333333333,30.1777757,1
-84.11644426,-11.08769505,11.46223307,7.806650597,0.070422,0.549295,0.373239,0.007042,0.205616624,92.84832715,1
-102.7117658,-8.890089065,4.195254699,6.244007095,0,0.705882,0.294117,0,0,25.68195179,1
-84.24116413,-8.378423271,16.16411446,9.341252493,0.007936,0.238095,0.626984,0.126984,0.169478959,74.49285869,1
-96.15128716,-11.68557405,13.70663397,8.466619316,0.221052,0.563157,0.215789,0,0.206491499,81.29248946,1
-92.94390184,-6.909523287,11.61013186,8.755116264,0.464285,0.5,0.035714,0,0.333499171,25.04299137,1
-76.32441618,-6.241857789,22.17886398,11.61723998,0.013157,0.105263,0.802631,0.078947,0.396831028,160.7297279,1
-92.03766208,-7.294820286,10.22913637,9.522314555,0,0.47619,0.523809,0,0.333333333,25.919832,1
-88.83910523,-11.57453365,15.06352833,13.03649223,0.181818,0.374331,0.44385,0,0.348503236,68.96996966,1
-94.31186248,-11.83158984,0.015141318,4.904235358,0.723404,0.255319,0.021276,0,0.063335438,19.91144699,0
-81.87167225,-6.063364337,18.67224325,12.29652163,0,0.166666,0.833333,0,0.333333333,30.03372748,1
-95.74805283,-9.085381321,12.72357923,9.381818747,0.2,0.566666,0.233333,0,0.310788553,80.92184269,1
-78.40198359,-10.76843794,12.86840166,12.62684928,0.065217,0.413043,0.521739,0,0.457551801,113.2906632,1
-84.75904088,-8.938658138,13.43887392,10.28366355,0.097701,0.436781,0.465517,0,0.394720828,86.11388224,1
-71.61804681,-5.442051529,25.41916731,12.73016662,0.05,0.05,0.7,0.2,0.333333333,29.89102557,1
-74.03076174,-7.817731577,13.0853869,10.3916693,0.016949,0.101694,0.677966,0.203389,0.182485447,79.33715418,1
-84.3939473,-8.133167244,12.32531457,9.911835553,0,0,0.833333,0.166666,0,24.89446762,0
-95.50106332,-11.2551411,2.472597448,5.129521964,0.8,0.2,0,0,0.424346827,19.81768271,0
